Field,Activity,RowID,Activity Description,Reporting Name,Operation Seq,Department Code,Long Description,Required / Std Spec
JAS,AIMC-Y01-05,37,Job for AIM PLE Color Coding (YELLOW) Inspection-1Y Service,,20,AIM,Visually inspect (VT),
JAS,AIMC-Y01-05,38,Job for AIM PLE Color Coding (YELLOW) Inspection-1Y Service,,30,AIM,Carry out NDT (MT/PT/ET/etc),
JAS,AIMC-Y01-05,39,Job for AIM PLE Color Coding (YELLOW) Inspection-1Y Service,,40,AIM,Apply color code (by paint or sticker),
JAS,AIMC-Y01-05,40,Job for AIM PLE Color Coding (YELLOW) Inspection-1Y Service,,50,AIM,Close work permit,
JAS,AIMP-Y01-01,41,Job for AIM Piping Inspection-Annual Service,,10,AIM,Open work permit/JSA,
JAS,AIMP-Y01-01,42,Job for AIM Piping Inspection-Annual Service,,20,AIM,Raise a separate Corrective Work Order to report any defect or when repair and on-condition action is required or been made,
JAS,AIMP-Y01-01,43,Job for AIM Piping Inspection-Annual Service,,30,AIM,Close workpermit,
JAS,AIMR-Y01-01,44,Job for AIM Riser Inspection (Above Water Section)- 1 Yearly Service,#NAME?,10,AIM,Open work permit/JSA,
JAS,AIMR-Y01-01,45,Job for AIM Riser Inspection (Above Water Section)- 1 Yearly Service,#NAME?,20,AIM,Riser inspeaction tasks following detail as in approved workopack,
JAS,AIMR-Y01-01,46,Job for AIM Riser Inspection (Above Water Section)- 1 Yearly Service,#NAME?,30,AIM,Record final report and finding and attach inspection result in workorder,
JAS,AIMR-Y01-01,47,Job for AIM Riser Inspection (Above Water Section)- 1 Yearly Service,#NAME?,40,AIM,Raise any anomaly in system to report any defect or when repair and on-condition action is required,
JAS,AIMR-Y01-01,48,Job for AIM Riser Inspection (Above Water Section)- 1 Yearly Service,#NAME?,50,AIM,Close workpermit,
JAS,AIMR-Y05-01,49,"Job for AIM Subsea Inspection (Riser, Pipeline and Jacket)- 5 Yearly Service",- 5 Yearly Service,10,AIM,Open work permit/JSA,
JAS,AIMR-Y05-01,50,"Job for AIM Subsea Inspection (Riser, Pipeline and Jacket)- 5 Yearly Service",- 5 Yearly Service,20,AIM,Subsea inspeaction tasks following detail as in approved workopack,
JAS,AIMR-Y05-01,51,"Job for AIM Subsea Inspection (Riser, Pipeline and Jacket)- 5 Yearly Service",- 5 Yearly Service,30,AIM,Record final report and finding and attach inspection result in workorder,
JAS,AIMR-Y05-01,52,"Job for AIM Subsea Inspection (Riser, Pipeline and Jacket)- 5 Yearly Service",- 5 Yearly Service,40,AIM,Raise any anomaly in system to report any defect or when repair and on-condition action is required,
JAS,AIMR-Y05-01,53,"Job for AIM Subsea Inspection (Riser, Pipeline and Jacket)- 5 Yearly Service",- 5 Yearly Service,50,AIM,Close workpermit,
JAS,AIMS-Y05-01,54,Job for AIM Pressure Safety Valve Inspection and Calibration SOP:TH-POT-OP-IN-PRC-0135-R1) - 5 Yearly Service,- 5 Yearly Services,10,AIM,Open work permit/JSA,
JAS,AIMS-Y05-01,55,Job for AIM Pressure Safety Valve Inspection and Calibration SOP:TH-POT-OP-IN-PRC-0135-R1) - 5 Yearly Service,- 5 Yearly Services,20,AIM,Inspection and calibration detail per SOP: TH-POT-OP-IN-PRC-0135-R1 Attachment,
JAS,AIMS-Y05-01,56,Job for AIM Pressure Safety Valve Inspection and Calibration SOP:TH-POT-OP-IN-PRC-0135-R1) - 5 Yearly Service,- 5 Yearly Services,30,AIM,Record inspection and calibration result in checksheet form and attach calibration result in workorder and put the sticker on the instrument,
JAS,AIMS-Y05-01,57,Job for AIM Pressure Safety Valve Inspection and Calibration SOP:TH-POT-OP-IN-PRC-0135-R1) - 5 Yearly Service,- 5 Yearly Services,40,AIM,Raise a separate Corrective Work Order to report any defect or when repair and on-condition action is required,
JAS,AIMS-Y05-01,58,Job for AIM Pressure Safety Valve Inspection and Calibration SOP:TH-POT-OP-IN-PRC-0135-R1) - 5 Yearly Service,- 5 Yearly Services,50,AIM,Close work permit,
JAS,AIMT-M06-01,59,Job for AIM Platform Topside Inspection-6M Service,- 6 Monthly Inspection Service,10,AIM,Open work permit/JSA,
JAS,AIMT-M06-01,60,Job for AIM Platform Topside Inspection-6M Service,- 6 Monthly Inspection Service,20,AIM,Visually inspect (VT/GVI) and carry out NDT (UT/MT/PT/ET/etc),
JAS,AIMT-M06-01,61,Job for AIM Platform Topside Inspection-6M Service,- 6 Monthly Inspection Service,30,AIM,Raise a separate Corrective Work Order to report any defect or when repair and on-condition action is required or been made,
JAS,AIMT-M06-01,62,Job for AIM Platform Topside Inspection-6M Service,- 6 Monthly Inspection Service,40,AIM,Close workpermit,
JAS,AIMT-Y01-01,63,Job for AIM Platform Topside Inspection-Annual Service,- 6 Monthly Inspection Service,10,AIM,Open work permit/JSA,
JAS,AIMT-Y01-01,64,Job for AIM Platform Topside Inspection-Annual Service,- 6 Monthly Inspection Service,20,AIM,Visually inspect (VT/GVI) and carry out NDT (UT/MT/PT/ET/etc),
JAS,AIMT-Y01-01,65,Job for AIM Platform Topside Inspection-Annual Service,- 6 Monthly Inspection Service,30,AIM,Raise a separate Corrective Work Order to report any defect or when repair and on-condition action is required or been made,
JAS,AIMT-Y01-01,66,Job for AIM Platform Topside Inspection-Annual Service,- 6 Monthly Inspection Service,40,AIM,Close workpermit,
JAS,AIMV-Y10-01,67,"Job for AIM Vessel Inspection (SOP:TH-GEN-MT-IN-PRC-0003-R1
)-10 Year Service",-10 Yearly Vessel Inspection,10,AIM,Open work permit/JSA,
JAS,AIMV-Y10-01,68,"Job for AIM Vessel Inspection (SOP:TH-GEN-MT-IN-PRC-0003-R1
)-10 Year Service",-10 Yearly Vessel Inspection,20,AIM,Pressure Vessel inspection tasks following detail as in approved workopack,
JAS,AIMV-Y10-01,69,"Job for AIM Vessel Inspection (SOP:TH-GEN-MT-IN-PRC-0003-R1
)-10 Year Service",-10 Yearly Vessel Inspection,30,AIM,Record final report and finding and attach inspection result in workorder,
JAS,AIMV-Y10-01,70,"Job for AIM Vessel Inspection (SOP:TH-GEN-MT-IN-PRC-0003-R1
)-10 Year Service",-10 Yearly Vessel Inspection,40,AIM,Raise any anomaly in system to report any defect or when repair and on-condition action is required,
JAS,AIMV-Y10-01,71,"Job for AIM Vessel Inspection (SOP:TH-GEN-MT-IN-PRC-0003-R1
)-10 Year Service",-10 Yearly Vessel Inspection,50,AIM,Close work permit,
JAS,BEST-M01-01,72,Job for Operator Gas Sampling -1 Monthly Sampling,-1 Monthly Sampling,10,OPT,Open workpermit/JSA,
JAS,BEST-M01-01,73,Job for Operator Gas Sampling -1 Monthly Sampling,-1 Monthly Sampling,20,OPT,Collect 1 cylinder of gas sampling,
JAS,BEST-M01-01,74,Job for Operator Gas Sampling -1 Monthly Sampling,-1 Monthly Sampling,30,OPT,Update Manifest number of Gas sampling that send to onshore in Work Order,
JAS,BEST-M01-01,75,Job for Operator Gas Sampling -1 Monthly Sampling,-1 Monthly Sampling,40,OPT,Close workpermit/JSA,
JAS,BEST-M03-01,76,Job for Operator Water Sampling -3 Monthly Sampling,-3 Monthly Samplig,10,OPT,Open workpermit/JSA,
JAS,BEST-M03-01,77,Job for Operator Water Sampling -3 Monthly Sampling,-3 Monthly Samplig,20,OPT,Collect 1 liter of water sampling,
JAS,BEST-M03-01,78,Job for Operator Water Sampling -3 Monthly Sampling,-3 Monthly Samplig,30,OPT,Update Manifest number of Water sampling that send to onshore in Work Order,
JAS,BEST-M03-01,79,Job for Operator Water Sampling -3 Monthly Sampling,-3 Monthly Samplig,40,OPT,Close workpermit/JSA,
JAS,BEST-M06-02,80,Job for Operator Ductless fume hood -6 Monthly inspection,-6 Monthly Service,10,OPT,Open workpermit/JSA,
JAS,BEST-M06-02,81,Job for Operator Ductless fume hood -6 Monthly inspection,-6 Monthly Service,20,OPT,Visual inspection and Check air flow rate at display,
JAS,BEST-M06-02,82,Job for Operator Ductless fume hood -6 Monthly inspection,-6 Monthly Service,30,OPT,Replace carbon filter (Stock No.1018072),
JAS,BEST-M06-02,83,Job for Operator Ductless fume hood -6 Monthly inspection,-6 Monthly Service,40,OPT,Raise a separate Corrective Work Order to report any defect or when repair and on-condition action is required,
JAS,BEST-M06-02,84,Job for Operator Ductless fume hood -6 Monthly inspection,-6 Monthly Service,50,OPT,Close work permit,
JAS,BSAC-Y01-01,85,Job for E&I Tech air condition annual service,,10,E&I,Open work permit/JSA,
JAS,BSAC-Y01-01,86,Job for E&I Tech air condition annual service,,20,E&I,Washing the condensing unit(Outside) and fan coil(inside unit) with high pressure pump,
JAS,BSAC-Y01-01,87,Job for E&I Tech air condition annual service,,30,E&I,Clean air filter,
JAS,BSAC-Y01-01,88,Job for E&I Tech air condition annual service,,40,E&I,"Inspect refrigerant level with regulator gauge(if leak,issue CM for repair leaking point)",
JAS,BSAC-Y01-01,89,Job for E&I Tech air condition annual service,,50,E&I,Check elctrical consumption,
JAS,BSAC-Y01-01,90,Job for E&I Tech air condition annual service,,60,E&I,Inspect drain piping,
JAS,BSAC-Y01-01,91,Job for E&I Tech air condition annual service,,70,E&I,Close work permit,
JAS,BSST-M06-01,92,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,10,E&I,Obtain work permit/JSA,
JAS,BSST-M06-01,93,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,20,E&I,"Visual inspection the condition of the appliance/equipment(Look for crack ,damage ,overheating)",
JAS,BSST-M06-01,94,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,30,E&I,Carry out PAT Testing(Follow portable appliance testing procedure),
JAS,BSST-M06-01,95,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,40,E&I,Record inspection and PAT Result in the checksheet form in Oracle attached file( print individule platform) then attach test result in Oracle,
JAS,BSST-M06-01,96,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,41,E&I,WPA PAT and Electrical equipment checksheet,
JAS,BSST-M06-01,97,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,42,E&I,WPB-PPB2 PAT and Electrical equipment checksheet,
JAS,BSST-M06-01,98,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,43,E&I,WPC PAT and Electrical equipment checksheet,
JAS,BSST-M06-01,99,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,44,E&I,WPD PAT and Electrical equipment checksheet,
JAS,BSST-M06-01,100,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,45,E&I,BYA PAT and Electrical equipment checksheet,
JAS,BSST-M06-01,101,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,50,E&I,All items that pass the inspection & testing will be labelled with safety sticker and unique barcode number that helps us keep of all portable appliances,
JAS,BSST-M06-01,102,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,60,E&I,Close work permit,
JAS,BSST-Y01-03,103,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,10,E&I,Obtain work permit/JSA,
JAS,BSST-Y01-03,104,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,20,E&I,"Visual inspection the condition of the appliance/equipment(Look for crack ,damage ,overheating)",
JAS,BSST-Y01-03,105,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,30,E&I,Carry out PAT Testing(Follow portable appliance testing procedure),
JAS,BSST-Y01-03,106,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,40,E&I,Record inspection and PAT Result in the checksheet form in Oracle attached file( print individule platform) then attach test result in Oracle,
JAS,BSST-Y01-03,107,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,41,E&I,WPA PAT and Electrical equipment checksheet,
JAS,BSST-Y01-03,108,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,42,E&I,WPB-PPB2 PAT and Electrical equipment checksheet,
JAS,BSST-Y01-03,109,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,43,E&I,WPC PAT and Electrical equipment checksheet,
JAS,BSST-Y01-03,110,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,44,E&I,WPD PAT and Electrical equipment checksheet,
JAS,BSST-Y01-03,111,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,45,E&I,BYA PAT and Electrical equipment checksheet,
JAS,BSST-Y01-03,112,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,50,E&I,All items that pass the inspection & testing will be labelled with safety sticker and unique barcode number that helps us keep of all portable appliances,
JAS,BSST-Y01-03,113,Job for E&I Electrical Equipment Inspection and Partable Appliance Testing (PAT)-Annual Inspection,#NAME?,60,E&I,Close work permit,
JAS,CBM-M03-01,114,Job for E&I Tech Thermoscan 3-Monthly inspection,,10,E&I,Open workpermit,
JAS,CBM-M03-01,115,Job for E&I Tech Thermoscan 3-Monthly inspection,,20,E&I,"Set up IR camera(emissivity, refect temp)",
JAS,CBM-M03-01,116,Job for E&I Tech Thermoscan 3-Monthly inspection,,30,E&I,Take IR Photo and record as per equipment route (attached file),
JAS,CBM-M03-01,117,Job for E&I Tech Thermoscan 3-Monthly inspection,,40,E&I,"Feeders(ACB, MCCB, Incomming & Outgoing feeder)",
JAS,CBM-M03-01,118,Job for E&I Tech Thermoscan 3-Monthly inspection,,50,E&I,"Engines and generators(turbo chargers, radiators,generator PMG, Battery and Battery chargers)",
JAS,CBM-M03-01,119,Job for E&I Tech Thermoscan 3-Monthly inspection,,60,E&I,Common exhaust ducts,
JAS,CBM-M03-01,120,Job for E&I Tech Thermoscan 3-Monthly inspection,,70,E&I,"Air compressor(Motor , compressor, and cubicle & panel)",
JAS,CBM-M03-01,121,Job for E&I Tech Thermoscan 3-Monthly inspection,,80,E&I,Choke valves,
JAS,CBM-M03-01,122,Job for E&I Tech Thermoscan 3-Monthly inspection,,90,E&I,Crude oil pump & motor,
JAS,CBM-M03-01,123,Job for E&I Tech Thermoscan 3-Monthly inspection,,100,E&I,LPWD Pump & motor,
JAS,CBM-M03-01,124,Job for E&I Tech Thermoscan 3-Monthly inspection,,110,E&I,Close drain pump & motor,
JAS,CBM-M03-01,125,Job for E&I Tech Thermoscan 3-Monthly inspection,,120,E&I,MCC-Battery and battery chargers,
JAS,CBM-M03-01,126,Job for E&I Tech Thermoscan 3-Monthly inspection,,130,E&I,PLC Cubicle,
JAS,CBM-M03-01,127,Job for E&I Tech Thermoscan 3-Monthly inspection,,140,E&I,"Summary thermoscan report in form(Normal, Caution, Warning)",
JAS,CBM-M03-01,128,Job for E&I Tech Thermoscan 3-Monthly inspection,,150,E&I,Close workpermit,
JAS,CBM-M03-02,129,Job for Mechanic Vibration monitoring 3-Monthly inspection,,10,MECH,Open workpermit/JSA,
JAS,CBM-M03-02,130,Job for Mechanic Vibration monitoring 3-Monthly inspection,,20,MECH,Measure vibartion as follow route check sheet (Mech-Vibration Check Sheet Form),
JAS,CBM-M03-02,131,Job for Mechanic Vibration monitoring 3-Monthly inspection,,30,MECH,Close workpermit,
JAS,CBM-M06-01,132,Job for Mechanic Vibration monitoring 6-Monthly inspection,- 6 Monthly Service,10,MECH,Open workpermit/JSA,
JAS,CBM-M06-01,133,Job for Mechanic Vibration monitoring 6-Monthly inspection,- 6 Monthly Service,20,MECH,Measure vibartion as follow route check sheet (Mech-Vibration Check Sheet Form),
JAS,CBM-M06-01,134,Job for Mechanic Vibration monitoring 6-Monthly inspection,- 6 Monthly Service,30,MECH,Close workpermit,
JAS,CEDE-D10-01,135,Job for MTN BI-FUEL Engine and filters 10 days service,,10,MTN-OFFSHO,Open workpermit,
JAS,CEDE-D10-01,136,Job for MTN BI-FUEL Engine and filters 10 days service,,20,MTN-OFFSHO,Isolate PICO filter – may require Fuel Gas to be shut down dependent on Engine usage,
JAS,CEDE-D10-01,137,Job for MTN BI-FUEL Engine and filters 10 days service,,30,MTN-OFFSHO,"Remove PICO filter and inspect, if dirty replace",
JAS,CEDE-D10-01,138,Job for MTN BI-FUEL Engine and filters 10 days service,,40,MTN-OFFSHO,Dirty filter clean if possible and allow to dry,
JAS,CEDE-D10-01,139,Job for MTN BI-FUEL Engine and filters 10 days service,,50,MTN-OFFSHO,Carry out steps 10-30 for second Pico filter if online,
JAS,CEDE-D10-01,140,Job for MTN BI-FUEL Engine and filters 10 days service,,60,MTN-OFFSHO,Isolate ECI filter,
JAS,CEDE-D10-01,141,Job for MTN BI-FUEL Engine and filters 10 days service,,70,MTN-OFFSHO,"Remove and inspect ECI filter, if dirty replace",
JAS,CEDE-D10-01,142,Job for MTN BI-FUEL Engine and filters 10 days service,,80,MTN-OFFSHO,Carry out steps 50-60 for Altronics filter if applicaple,
JAS,CEDE-D10-01,143,Job for MTN BI-FUEL Engine and filters 10 days service,,90,MTN-OFFSHO,Close workpermit,
JAS,CEDE-H1000-06,144,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),10,MECH,Open work permit/JSA,
JAS,CEDE-H1000-06,145,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),20,MECH,"Take an oil sample for Focuslab analysis, at the standard position before the oil filters",
JAS,CEDE-H1000-06,146,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),30,MECH,After shutting down:,
JAS,CEDE-H1000-06,147,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),40,MECH,"Drain crankcase oil, refill with Oil Premium Blue 15W/40 oil",
JAS,CEDE-H1000-06,148,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),41,MECH,Ensure engine lube oil refilling cap is tighten properly,
JAS,CEDE-H1000-06,149,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),50,MTN-BKK,Clean PT diesel pump filter,
JAS,CEDE-H1000-06,150,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),51,MECH,Clean PT diesel pump filter,
JAS,CEDE-H1000-06,151,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),60,MECH,Check cyclinder head for gasket leaks and arrange for replacement if leaking,
JAS,CEDE-H1000-06,152,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),70,MECH,Check radiator for leaks and corrosion,
JAS,CEDE-H1000-06,153,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),80,MECH,Check and clean radiator core (externally) if necessary,
JAS,CEDE-H1000-06,154,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),90,MECH,Ensure radiator refilling cap is tighten properly,
JAS,CEDE-H1000-06,155,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),110,MECH,Remove eliminator centifuge filter and replace a paper insert,
JAS,CEDE-H1000-06,156,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),111,MECH,SWHE Inspection and cleaning (Ensure SWHE unit is in isolation and use high pressure steam to cleaning),
JAS,CEDE-H1000-06,157,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),120,MECH,"Change fuel primary filter 2020PM-OR ""Parker-Racor""(3 ea)",
JAS,CEDE-H1000-06,158,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),130,MECH,"Inspect coolant lines and hoses, replace as necessary",
JAS,CEDE-H1000-06,159,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),140,MECH,Drain sediments from fuel tank,
JAS,CEDE-H1000-06,160,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),150,MECH,Change fuel separator filter FS1006(2 ea),
JAS,CEDE-H1000-06,161,"Job for Mechanic Cummins engine model KTA-50-G9, 2000 hrs(Eliminator) service",- 1000 HR SERVICE(ELIMINATOR -SWHE INSPECTION & CLEANING ),160,MECH,"Inspect fuel solenoid valves, level switch and relay and makesure they are working properly",
