Field,Activity,Activity Description,Operation Seq,Component,Component Description,UOM,Quantity
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",210,1002651,"ELEMENT, FILTER, TYPE FUEL/WATER SEPARATOR SPIN ON, SIZE 120.29 X 313MM., MFG FLEETGUARD, P/N FS1006",PCS,4
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",250,1002777,"GASKET, TYPE WATER PIPE FLANGE, KTA38 CUMMINS ENGINE, MFG CUMMINS, P/N 3175517",PCS,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",250,1002563,"CLAMP, T BOLT, MFG CUMMINS, P/N 3063809/3633974",PCS,4
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",280,1002796,"GASKET, TYPE HAND HOLE CYLINDER HEAD, MFG CUMMINS, P/N 3175856",PCS,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",270,1002732,"GASKET, TYPE OIL DRAIN, MFG CUMMINS, P/N 3202117",EA,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",280,1002725,"GASKET, TYPE TURBOCHARGER, MFG CUMMINS, P/N 3630452",PCS,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1002730,"GASKET, TYPE WTR CONNECTION, MFG CUMMINS, P/N 3052908",SET,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1006792,"PUMP, CENTRIFUGAL, TYPE WATER, MFG CUMMINS, P/N 4376118/5633400",PCS,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",280,1006797,"TURBOCHARGER, ENGINE, HX82, MFG CUMMINS, P/N 4955510",SET,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",50,1002792,"WASHER, SEALING, MFG CUMMINS, P/N 3023095",PCS,32
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",50,1002670,"GASKET, ENGINE, TYPE ROCKER LEVER COVER, MFG CUMMINS, P/N 4922219/4920076",PCS,16
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",250,1002773,"HOSE, RADIATOR, MFG CUMMINS, P/N 60985",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",250,1002782,"ABSORBER, SHOCK, MFG CUMMINS, P/N 3008018",PCS,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",250,1002793,"CLAMP, HOSE/TUBING, TYPE T-BOLT, MFG CUMMINS, P/N 140315",PCS,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",50,1006798,"INJECTOR, MFG CUMMINS, P/N 110089737/3349861",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",270,1003275,OBSOLETE ITEM,EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",270,1002493,"DUPLICATED, PLEASE USE ITEM 1009047",M,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1002680,"GASKET, TYPE WATER PUMP ADAPTOR, KTA38 CUMMINS ENGINE, MFG CUMMINS, P/N 206455",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1002679,"O-RING, TYPE ENGINE, MFG CUMMINS, P/N 3007512",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1002674,"GASKET, TYPE FLANGE WATER PUMP, KTA38 CUMMINS ENGINE, MFG CUMMINS, P/N 3050944",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1002773,"HOSE, RADIATOR, MFG CUMMINS, P/N 60985",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1002673,"DUPLICATED, PLEASE USE ITEM 1007248",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1002777,"GASKET, TYPE WATER PIPE FLANGE, KTA38 CUMMINS ENGINE, MFG CUMMINS, P/N 3175517",PCS,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1002681,"DUPLICATED, PLEASE USE ITEM 1007246",SET,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1002793,"CLAMP, HOSE/TUBING, TYPE T-BOLT, MFG CUMMINS, P/N 140315",PCS,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",280,1002562,"HOSE, TYPE TURBOCHARGER, MFG CUMMINS, P/N 3630125",PCS,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",280,1002732,"GASKET, TYPE OIL DRAIN, MFG CUMMINS, P/N 3202117",EA,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",280,1002563,"CLAMP, T BOLT, MFG CUMMINS, P/N 3063809/3633974",PCS,4
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",270,1002523,"BEARING, ROLLER, TYPE ASSEMBLY, MFG CUMMINS, P/N 3003354",Box,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",270,1002531,"GASKET, FLANGE NON-SPIRAL, MFG CUMMINS, P/N 3014449",SET,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",270,1002525,"SEAL, OIL, MFG CUMMINS, P/N 3065830",PCS,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",320,1004784,"GASKET, TYPE CAM FOLWER HOUSING, MFG CUMMINS, P/N 3040721",SET,16
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",330,1004121,"VALVE, TYPE OIL CONTROL, MFG CUMMINS, P/N 3076333",EA,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",50,1003994,"SEAL, O-RING, MFG CUMMINS, P/N 131026",EA,16
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1002687,"GASKET, TYPE WATER PUMP, KTA38 CUMMINS ENGINE, MFG CUMMINS, P/N 206193",SET,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1007246,"SEAL, O-RING, KTA38 CUMMINS ENGINE, MFG CUMMINS, P/N 206457",PCS,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",170,1007248,"GASKET, TYPE GASKET WATER INLET, MFG CUMMINS, P/N 3179035",PCS,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",270,1009047,"BELT, TYPE V RIBBED, KTA38 CUMMINS ENGINE, MFG CUMMINS, P/N 5413001(3003341)",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",181,1002727,"THERMOSTAT, TYPE AFTERCOOLER CIRCUIT, KTA50, MFG CUMMINS, P/N 3349225",PCS,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",181,1002729,"THERMOSTAT, ENGINE, MFG CUMMINS, P/N 3629205",PCS,4
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",160,1013658,"HOSE, ID 1/4 IN, LG 5 M, VENT LINE FOR CUMMINS ENGINE KTA50 RADIATOR, MFG SUNFLEX, P/N MSH300-0025",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",160,1013659,"HOSE, ID 1-1/4IN., LG 1M., FILLING LINE FOR CUMMINS ENGINE KTA50 RADIATOR, MFG GATES, P/N 24020",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",160,1013660,"HOSE, ID 1-5/8IN., LG 1M., FILLING LINE FOR CUMMINS ENGINE KTA50 RADIATOR, MFG GATES, P/N 24026",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",160,1013663,"HOSE, ID 5IN., LG 1M., SUCTION LINE FOR CUMMINS ENGINE KTA50 RADIATOR, MFG SUNFLEX, P/N RH150-0500",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",160,1013661,"HOSE, ID 2-1/4IN., LG 1M., LTA LINE FOR CUMMINS ENGINE KTA50 RADIATOR, MFG GATES, P/N 24036",EA,3
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",160,1013662,"HOSE, TYPE FOR RADIATOR, MAIN LINE FOR CUMMINS ENGINE KTA50 RADIATOR,, SIZE ID 3IN., LG 3FT., MFG GATES, P/N 24048",EA,4
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",220,1016043,"ELEMENT, COOLANT FILTER, EXTENDEDER, THREAD SIZE 11/16-16 UN-2B  FOR KTA50 ENGINE, MFG CUMMINS, P/N WF2121",EA,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",280,1007649,"CLAMP, HOLDING, TAP COND CLAMP V BAND EXHAUST, MFG CUMMINS, P/N 3029631",EA,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",270,1026189,"BELT, TYPE RIBBED FOR QSK78 ENGINE, MFG CUMMINS, P/N 5412990",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",1,1004785,"KIT, TYPE ELIMINATOR, APP LUBRICATION OIL CLR CVN, MFG CUMMINS, P/N 3633026",SET,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",1,1002671,"COOLANT, ENGINE, TYPE ETHYLENE GLYCOL, CONTAINER 55 GAL, MFG CUMMINS, P/N CC2826",PCS,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",1,1002622,"GREASE, INDUSTRIAL, TYPE MOBILUX EP 2, TEMP RTG -20 TO 130DEG.C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN 18L, MFG MOBIL, P/N MOBILUX EP2",PAI,0.1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",1,1018007,"SEAL, DUST, MFG CUMMINS, P/N 3058812",EA,8
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",1,1018012,"SEAL, O-RING, MFG CUMMINS, P/N 68910",EA,16
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",230,1017784,"FILTER, AIR, HOUSING, DISPOSABLE, SIZE OD342.90 X H653.29MM., MFG FLEETGUARD, P/N AH1135",EA,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",330,1002562,"HOSE, TYPE TURBOCHARGER, MFG CUMMINS, P/N 3630125",PCS,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",340,1018479,"ELEMENT, FILTER, TYPE ECOVENT FOR KTA50/G9 AND QSK78, MFG CUMMINS, P/N 88465A",EA,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",1,1003486,"GREASE, TYPE GADUS S2 V220 2, TEMP RTG -20 TO 130 DEG C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN/18L, MFG SHELL, P/N GADUS S2 V220 2/18 L",PAI,0.1
JAS,PUCE-W02-02,Job for Mechanic Flowserve pump model 4HPX15A/ERPN 80-400 2-weekly service,70,1003684,"OIL, INDUSTRIAL, TYPE TURBO T, VISC RTG 100, FLASH POINT >250DEG.C, CONTAINER PAIL PER 18L",PAI,0.25
JAS,CHHD-H250-02,Job for Mechanic Nautilius marine crane swing mechanism 250 hr or 3- monthly service,50,1002645,"OIL, VISC RTG 220, FLASH POINT 240 DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N OMALA S2 GX220",PAI,1
JAS,CHHD-H250-02,Job for Mechanic Nautilius marine crane swing mechanism 250 hr or 3- monthly service,60,1003486,"GREASE, TYPE GADUS S2 V220 2, TEMP RTG -20 TO 130 DEG C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN/18L, MFG SHELL, P/N GADUS S2 V220 2/18 L",PAI,0.1
JAS,CHHD-H250-02,Job for Mechanic Nautilius marine crane swing mechanism 250 hr or 3- monthly service,70,1003486,"GREASE, TYPE GADUS S2 V220 2, TEMP RTG -20 TO 130 DEG C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN/18L, MFG SHELL, P/N GADUS S2 V220 2/18 L",PAI,0.1
JAS,CEDE-H2000-02,"Job for Mechanic Caterpillar engine model 3306DIT 2,000 hr or annual service",90,1002641,"ELEMENT, FILTER, TYPE OIL - SPIN-ON, SIZE 107.9 X 254.6MM, FILTER RETENTION 35 MICRON, MATL CELLULOSE/SYNTHETIC, MFG CATERPILLAR, P/N 1R-0739",EA,1
JAS,CEDE-H2000-02,"Job for Mechanic Caterpillar engine model 3306DIT 2,000 hr or annual service",140,1002916,"COOLANT, ENGINE, TYPE ETHYLENE GLYCOL, CONTAINER 5 GAL, MFG CUMMINS, P/N CC2848",PAI,2
JAS,CEDE-H2000-02,"Job for Mechanic Caterpillar engine model 3306DIT 2,000 hr or annual service",150,1003580,"ELEMENT, FILTER, TYPE FUEL PRIMARY, MFG BALDWIN, P/N N45424-558",EA,1
JAS,CEDE-H2000-02,"Job for Mechanic Caterpillar engine model 3306DIT 2,000 hr or annual service",160,1002605,"ELEMENT, FILTER, TYPE FUEL - SPIN-ON SECONDARY, SIZE 85.7 X 181.5MM, MATAL CELLULOSE, MFG CATERPILLAR, P/N 1R-0750",EA,1
JAS,CEDE-H2000-02,"Job for Mechanic Caterpillar engine model 3306DIT 2,000 hr or annual service",80,1004412,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER CAN 20L, MFG CUMMINS, P/N 20L-CI4",PAI,2
JAS,CEDE-H2000-02,"Job for Mechanic Caterpillar engine model 3306DIT 2,000 hr or annual service",50,1003331,"NOZZLE, FUEL INJECTION, MFG CATERPILLAR, P/N 8N-7005",EA,1
JAS,COSC-H2000-01,"Job for Mechanic Air compressor Atlas Copco GA75PLUS 2,000 hr service",60,1002624,"DUPLICATED, PLEASE USE ITEM 1003255",PAI,0.25
JAS,COSC-H2000-01,"Job for Mechanic Air compressor Atlas Copco GA75PLUS 2,000 hr service",60,1003255,"OIL, INDUSTRIAL, TYPE ROTO, VISC RTG 100, FLASH POINT 240 DEG.C, CONTAINER CAN 20L, MFG ATLAS COPCO, P/N 1630091800",CAN,0
JAS,WHCP-M06-01,Job for E&I Tech Wellhead control panel 6-monthly service,60,1002474,"OIL, TYPE TELLUS S2 M46, VISC RTG 37, FLASH POINT 220 DEG C, CONTAINER DRUM/209L, MFG SHELL, P/N TELLUS S2 M46/209 L",DRM,0.5
JAS,PUPG-M06-03,Job for Mechanic Williams milton roy pump 6-monthly service,40,1002620,"OIL, TYPE SILICONE OIL, CONTAINER BOTTLE/4 OZ, MFG WILLIAMS MILTON ROY, P/N SF96-100/4",EA,0.25
JAS,EMAC-H2000-02,"Job for E&I Tech AC ABB Motor Frame size  315&355-2,000 hr or 6-Monthly service",40,1003487,"GREASE, TEMP RTG -20 TO 160DEG.C, THICKENER DIUREA, VISC RTG 100, COLOR BROWN, CONTAINER PAIL 18KG., MFG SHELL, P/N GADUS S3 T150J 2",PAI,0.1
JAS,WIHW-H1000-01,"Job for Mechanic Braden hydraulic load and auxiliary hoist 1,000 hr or annual service",20,1002645,"OIL, VISC RTG 220, FLASH POINT 240 DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N OMALA S2 GX220",PAI,1
JAS,CHHD-H1000-01,Job for Mechanic Nautilius marine crane swing mechanism 1000 hr or annual service,50,1002645,"OIL, VISC RTG 220, FLASH POINT 240 DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N OMALA S2 GX220",PAI,1
JAS,CHHD-H1000-01,Job for Mechanic Nautilius marine crane swing mechanism 1000 hr or annual service,60,1003486,"GREASE, TYPE GADUS S2 V220 2, TEMP RTG -20 TO 130 DEG C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN/18L, MFG SHELL, P/N GADUS S2 V220 2/18 L",PAI,0.1
JAS,CHHD-H1000-01,Job for Mechanic Nautilius marine crane swing mechanism 1000 hr or annual service,70,1003486,"GREASE, TYPE GADUS S2 V220 2, TEMP RTG -20 TO 130 DEG C, THICKENER LITHIUM, VISC RTG 160, COLOR BROWN, CONTAINER CAN/18L, MFG SHELL, P/N GADUS S2 V220 2/18 L",PAI,0.1
JAS,CHHD-H500-03,Job for Mechanic Nautilius marine crane model 180B1-80(MS) Hydraulic system 500 hr or 6-monthly service,20,1002647,"OIL, TYPE TELLUS S2 MX68, VISC RTG 68, FLASH POINT 235DEG.C, CONTAINER PAIL 20L, MFG SHELL, P/N TELLUS S2 M68/20L",PAI,1
JAS,CHHD-H500-03,Job for Mechanic Nautilius marine crane model 180B1-80(MS) Hydraulic system 500 hr or 6-monthly service,60,1002629,"ELEMENT, FILTER, TYPE HYDRAULIC, SIZE 152 X 457 MM., FILTER RETENTION 23 MICRON, MATERIAL SYNTHETIC FIBER, MFG DONALDSON, P/N P164703",EA,1
JAS,CRHO-Y01-01,"JOB FOR NAUTILUS CRANE MODEL 180B1-80(MS) ANNUAL(1,000 HRS) SERVICE",20,1003576,"GREASE, TYPE CARDIUM COMPOUND, WIRE ROPE, TEMP RTG 210DEG.C, VISC RTG 200MM2/S, COLOR BLACK, CONTAINER /180KG.(DR.ONLY), MFG SHELL, P/N GADUS S1 OG 200",PAI,1
JAS,CRHO-M03-01,JOB FOR NAUTILUS CRANE MODEL 180B1-80(MS) 3-MONTHLY (250 HRS) SERVICE,10,1003576,"GREASE, TYPE CARDIUM COMPOUND, WIRE ROPE, TEMP RTG 210DEG.C, VISC RTG 200MM2/S, COLOR BLACK, CONTAINER /180KG.(DR.ONLY), MFG SHELL, P/N GADUS S1 OG 200",PAI,1
JAS,CRHO-M03-01,JOB FOR NAUTILUS CRANE MODEL 180B1-80(MS) 3-MONTHLY (250 HRS) SERVICE,20,1003576,"GREASE, TYPE CARDIUM COMPOUND, WIRE ROPE, TEMP RTG 210DEG.C, VISC RTG 200MM2/S, COLOR BLACK, CONTAINER /180KG.(DR.ONLY), MFG SHELL, P/N GADUS S1 OG 200",PAI,1
JAS,CEDE-H6000-01,"Job for Mechanic Cummins engine model QST30-G4 6,000 hr service",190,1002516,"ELEMENT, FILTER, TYPE WATER, SPIN-ON, SIZE 93.73 X 137.92MM., FILTER RETENTION 60 MICRON, MATL CELLULOSE, MFG FLEETGUARD, P/N WF2076",PCS,2
JAS,CEDE-H6000-01,"Job for Mechanic Cummins engine model QST30-G4 6,000 hr service",40,1006787,"INJECTOR, QST30, MFG CUMMINS, P/N 110204096/4025281",PCS,12
JAS,CEDE-H6000-01,"Job for Mechanic Cummins engine model QST30-G4 6,000 hr service",50,1006791,"PUMP, FULE INJECTION PUMP FOR QST30, CUMMINS",EA,2
JAS,CEDE-H6000-01,"Job for Mechanic Cummins engine model QST30-G4 6,000 hr service",160,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
JAS,CEDE-H6000-01,"Job for Mechanic Cummins engine model QST30-G4 6,000 hr service",170,1002500,"ELEMENT, FILTER, TYPE OIL SPIN ON, SIZE 118.62 X 249.2MM., MFG FLEETGUARD, P/N LF670",EA,4
